sample_id,batch_500_usd,batch_1681_usd,batch_5000_usd
694,20.2367,6.0706,2.0235
695,48.2136,14.4630,4.8208
696,20.5851,6.1751,2.0583
697,35.7473,10.7234,3.5743
698,15.6424,4.6924,1.5641
699,14.6126,4.3835,1.4611
700,59.2438,17.7719,5.9237
701,35.9336,10.7793,3.5930
702,70.8309,21.2477,7.0823
703,76.5825,22.9731,7.6574
704,16.9669,5.0897,1.6965
705,35.7929,10.7371,3.5789
706,17.2222,5.1663,1.7220
707,34.0202,10.2053,3.4017
708,51.9243,15.5761,5.1919
709,34.1880,10.2557,3.4184
710,15.3216,4.5961,1.5320
711,48.0145,14.4033,4.8009
712,19.9162,5.9744,1.9914
713,20.5974,6.1788,2.0595
714,9.5798,2.8737,0.9579
715,16.2339,4.8698,1.6232
716,50.5258,15.1566,5.0520
717,35.6985,10.7088,3.5695
718,40.6006,12.1793,4.0596
719,34.0164,10.2042,3.4013
720,32.5260,9.7571,3.2522
721,13.8757,4.1624,1.3874
722,17.2842,5.1849,1.7282
723,21.2971,6.3887,2.1295
724,16.0205,4.8058,1.6019
725,17.6683,5.3001,1.7666
726,15.1453,4.5433,1.5144
727,16.2584,4.8772,1.6257
728,40.9877,12.2954,4.0983
729,22.2376,6.6708,2.2235
730,21.0116,6.3030,2.1009
731,43.2429,12.9719,4.3238
732,6.9443,2.0831,0.6944
733,11.8867,3.5658,1.1885
734,82.1193,24.6340,8.2110
735,26.9894,8.0962,2.6987
736,17.2881,5.1861,1.7286
737,28.3019,8.4899,2.8299
738,17.7900,5.3366,1.7788
739,12.4050,3.7212,1.2404
740,16.4313,4.9290,1.6430
741,29.5338,8.8595,2.9531
742,28.8698,8.6603,2.8867
743,46.3984,13.9185,4.6393
744,8.5785,2.5734,0.8578
745,31.4380,9.4307,3.1435
746,58.9302,17.6778,5.8924
747,40.2404,12.0712,4.0236
748,10.7493,3.2246,1.0748
749,65.1099,19.5315,6.5103
750,14.2293,4.2685,1.4228
751,24.0816,7.2239,2.4079
752,26.6820,8.0040,2.6679
753,3.9272,1.1781,0.3927
754,56.8620,17.0573,5.6856
755,28.1358,8.4401,2.8133
756,9.6953,2.9084,0.9694
757,46.9467,14.0830,4.6942
758,28.1258,8.4371,2.8123
759,20.4171,6.1247,2.0415
760,67.1020,20.1291,6.7095
761,42.2317,12.6686,4.2227
762,4.4590,1.3376,0.4458
763,9.9938,2.9979,0.9993
764,57.6860,17.3045,5.7680
765,20.3813,6.1140,2.0379
766,19.6742,5.9018,1.9672
767,29.7528,8.9252,2.9750
768,29.5579,8.8667,2.9555
769,22.2238,6.6667,2.2221
770,22.0956,6.6282,2.2093
771,8.8338,2.6499,0.8833
772,11.9713,3.5911,1.1970
773,25.7735,7.7315,2.5771
774,14.6878,4.4060,1.4686
775,6.7131,2.0138,0.6712
776,33.5170,10.0544,3.3513
777,10.1872,3.0559,1.0186
778,35.7643,10.7285,3.5760
779,12.5550,3.7662,1.2554
780,14.4852,4.3453,1.4484
781,27.9291,8.3781,2.7926
782,18.2208,5.4658,1.8219
783,15.7970,4.7387,1.5795
784,48.6840,14.6041,4.8679
785,54.2428,16.2716,5.4237
786,17.6059,5.2814,1.7604
787,20.7382,6.2210,2.0736
788,39.9284,11.9776,3.9924
789,14.2171,4.2648,1.4216
790,21.1406,6.3417,2.1138
791,25.9375,7.7807,2.5935
792,22.7556,6.8262,2.2753
793,12.3781,3.7131,1.2377
794,29.1826,8.7541,2.9179
795,33.3403,10.0014,3.3337
796,6.9715,2.0913,0.6971
797,19.0628,5.7184,1.9061
798,41.2882,12.3855,4.1284
799,31.6600,9.4973,3.1657
800,21.2788,6.3832,2.1276
801,32.1373,9.6405,3.2134
802,81.7015,24.5087,8.1693
803,7.5498,2.2648,0.7549
804,14.6374,4.3909,1.4636
805,11.3992,3.4195,1.1398
806,26.3487,7.9040,2.6346
807,24.8051,7.4410,2.4802
808,55.2294,16.5676,5.5223
809,11.5471,3.4639,1.1546
810,12.8850,3.8652,1.2884
811,22.3660,6.7093,2.2364
812,16.1855,4.8553,1.6184
813,30.8842,9.2646,3.0881
